id,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
1,4/30/2023 8:15,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,31,1009,55,3.26,173
2,4/30/2023 8:16,TH-11,Bang Phli,Samut Prakan,Thailand,86,p2,30,1008,84,3.09,80
3,4/30/2023 8:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,97,p2,30,1009,73,2.57,80
4,4/30/2023 8:17,TH-13,Khlong Luang,Pathum Thani,Thailand,77,p2,30,1010,88,2.57,80
5,4/30/2023 8:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,140,p2,29,1009,66,1.71,163
6,4/30/2023 8:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,117,p2,27,1009,68,1.9,145
7,4/30/2023 8:18,TH-16,Ban Mi,Lop Buri,Thailand,120,p2,27,1009,65,2.38,139
8,4/30/2023 8:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,30,1009,69,2.37,170
9,4/30/2023 8:19,TH-21,Ban Khai,Rayong,Thailand,76,p2,32,1009,66,1.4,133
10,4/30/2023 8:20,TH-50,Chiang Mai,Chiang Mai,Thailand,161,p2,30,989,50,1.03,0
11,4/30/2023 8:20,TH-52,Hang Chat,Lampang,Thailand,153,p2,27,1010,66,1.25,145
12,4/30/2023 9:15,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,31,1009,55,3.06,177
13,4/30/2023 9:15,TH-11,Bang Phli,Samut Prakan,Thailand,76,p2,31,1010,79,3.6,90
14,4/30/2023 9:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,90,p2,31,1010,73,4.12,90
15,4/30/2023 9:17,TH-13,Khlong Luang,Pathum Thani,Thailand,74,p2,31,1010,87,4.12,90
16,4/30/2023 9:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,109,p2,30,1009,56,2.03,162
17,4/30/2023 9:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,117,p2,32,1010,58,2.28,152
18,4/30/2023 9:18,TH-16,Ban Mi,Lop Buri,Thailand,120,p2,32,1010,58,2.78,139
19,4/30/2023 9:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,28,1010,64,2.45,189
20,4/30/2023 9:19,TH-21,Ban Khai,Rayong,Thailand,76,p2,32,1010,59,2.06,144
21,4/30/2023 9:20,TH-50,Chiang Mai,Chiang Mai,Thailand,162,p2,32,982,45,1.03,0
22,4/30/2023 9:20,TH-52,Hang Chat,Lampang,Thailand,128,p2,33,1010,57,1.51,154
23,4/30/2023 10:15,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,29,1009,57,3.19,170
24,4/30/2023 10:15,TH-11,Bang Phli,Samut Prakan,Thailand,53,p2,28,1010,83,6.17,240
25,4/30/2023 10:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,43,p2,30,1010,70,4.63,240
26,4/30/2023 10:16,TH-13,Khlong Luang,Pathum Thani,Thailand,63,p2,32,1011,74,4.63,240
27,4/30/2023 10:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,92,p2,35,1009,49,2.65,136
28,4/30/2023 10:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,32,1009,50,2.67,136
29,4/30/2023 10:18,TH-16,Ban Mi,Lop Buri,Thailand,93,p2,32,1009,50,3,122
30,4/30/2023 10:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,33,1010,61,2.51,189
